ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
789,28,11,2024,48,P,994,8,5,30000
1947,5,9,2024,37,P,531,6,5,50000
3781,8,5,2024,30,L,815,13,2,10000
4114,7,5,2022,47,L,271,18,6,10000
4415,31,11,2024,43,L,542,11,1,10000
8488,14,11,2023,56,P,222,12,5,10000
8476,9,8,2023,52,L,88,9,13,10000
8344,18,3,2023,69,L,267,8,4,50000
5403,21,8,2022,51,P,894,19,10,20000
6899,19,1,2024,55,P,225,9,7,20000
9843,22,12,2023,27,L,998,9,8,10000
6901,25,7,2024,66,L,268,14,5,50000
8378,3,4,2022,75,L,982,5,10,30000
6641,5,5,2023,70,L,423,17,1,10000
2577,17,11,2022,47,P,873,5,2,20000
2180,4,10,2024,45,P,89,1,12,30000
2411,17,6,2023,75,P,789,13,1,40000
726,13,1,2023,48,L,770,18,9,10000
1074,18,2,2022,30,P,370,7,11,40000
800,29,5,2023,44,L,768,14,14,30000
3583,19,5,2022,65,P,221,18,8,50000
5279,23,8,2022,32,L,41,9,3,50000
9836,5,7,2023,29,P,949,14,1,20000
3019,31,5,2023,72,P,911,2,12,10000
2759,16,5,2023,43,P,512,15,1,20000
8965,16,2,2022,77,P,259,7,7,50000
5055,12,6,2022,37,L,483,2,3,50000
4657,9,4,2024,55,L,5,1,2,50000
1449,19,1,2023,36,P,449,2,1,30000
8230,21,4,2023,48,P,504,13,14,50000
5981,27,6,2023,23,P,70,7,3,40000
5658,20,10,2024,55,L,530,2,9,30000
1907,27,9,2023,48,P,305,4,10,20000
2752,17,10,2023,40,P,36,10,1,30000
9858,13,10,2022,61,L,947,3,8,20000
8241,21,4,2024,59,L,212,2,1,50000
3077,3,9,2024,72,L,422,14,3,50000
7742,13,3,2022,66,P,274,19,4,50000
9277,14,5,2022,35,L,680,20,13,50000
7276,9,5,2024,44,L,897,15,6,10000
1039,16,6,2022,21,L,46,1,8,30000
8935,18,9,2023,35,L,783,19,4,10000
6789,4,4,2023,40,L,953,7,12,20000
6406,23,5,2023,47,P,220,7,6,30000
6355,15,2,2022,44,L,138,18,13,40000
2436,1,3,2023,60,P,32,13,4,10000
8416,13,7,2023,78,P,694,15,2,20000
3064,19,1,2022,58,L,71,12,13,40000
5694,1,4,2022,46,P,230,11,3,10000
5611,26,11,2023,73,P,44,19,13,50000
4812,7,5,2024,36,P,729,4,13,20000
7393,4,11,2023,61,L,58,15,14,50000
8621,25,5,2024,39,P,176,8,14,10000
6061,30,8,2022,47,L,288,20,7,40000
9641,27,3,2024,32,L,412,7,12,10000
6601,23,5,2022,53,L,802,1,7,20000
9653,8,4,2024,38,P,998,5,3,20000
1568,11,12,2022,56,L,25,10,12,10000
4289,2,7,2024,25,L,880,4,10,40000
2562,30,9,2022,44,P,702,20,12,10000
9846,5,4,2022,27,P,224,9,6,30000
6655,20,5,2022,56,P,591,5,9,40000
3074,20,4,2024,31,P,977,18,10,20000
1561,4,4,2024,39,L,454,12,1,20000
6945,21,6,2022,64,L,40,8,11,30000
9819,31,7,2023,29,P,840,20,13,10000
3157,1,3,2023,78,P,227,9,12,30000
3152,30,10,2024,70,P,857,12,8,30000
3020,12,7,2022,45,P,966,2,11,10000
1235,13,1,2024,27,L,958,20,6,30000
8884,8,1,2022,43,P,952,20,10,40000
3525,14,10,2023,51,L,419,13,4,20000
3720,9,11,2022,42,L,797,9,10,10000
6434,7,2,2022,63,P,604,18,13,40000
6996,26,4,2023,62,P,288,19,13,40000
7456,9,10,2022,65,P,838,4,1,10000
3558,24,2,2022,21,L,87,6,6,10000
4165,4,5,2022,55,P,5,11,4,10000
7607,29,1,2022,42,P,503,14,2,30000
2039,6,10,2024,35,L,140,4,5,20000
7831,24,11,2024,38,P,724,16,12,40000
496,9,10,2022,29,L,452,20,12,40000
6538,9,8,2022,61,L,700,16,12,20000
5835,11,3,2022,44,P,571,19,5,20000
9402,1,9,2024,29,P,792,14,11,20000
3410,23,9,2022,30,P,513,2,2,50000
1938,1,8,2023,52,P,732,17,12,10000
7169,15,6,2024,61,P,152,9,8,40000
8685,5,1,2023,77,L,196,18,10,50000
2004,4,12,2022,55,L,358,6,3,20000
8914,16,6,2024,60,P,738,4,6,30000
4490,12,7,2023,51,P,867,2,1,50000
3827,31,6,2023,80,P,607,4,4,10000
2518,31,10,2023,56,L,900,11,4,20000
2994,29,3,2023,24,P,922,8,3,20000
6415,12,6,2024,76,L,54,6,2,40000
5219,6,6,2024,58,P,998,17,5,10000
2863,4,5,2023,69,L,586,1,1,40000
4578,23,11,2022,79,L,176,16,12,50000
2766,15,3,2024,37,L,835,8,11,30000
1598,5,9,2024,56,L,303,8,3,40000
219,2,9,2023,52,L,968,11,7,20000
13,28,12,2024,60,L,469,10,11,10000
2611,25,9,2023,46,P,997,17,12,10000
5268,1,7,2022,39,P,74,19,5,30000
3816,8,1,2022,48,L,407,19,14,50000
4638,28,2,2022,72,P,857,18,7,10000
1692,27,4,2024,73,P,925,20,5,40000
6616,30,3,2022,62,P,845,2,8,40000
1014,27,2,2023,28,P,352,3,5,10000
1890,13,3,2022,23,L,17,3,7,40000
7925,13,6,2024,78,L,659,12,4,10000
1283,26,9,2023,31,L,229,12,9,20000
5571,2,3,2022,41,P,37,14,7,20000
4120,7,7,2022,38,L,631,20,11,40000
1039,31,10,2024,40,P,125,3,8,30000
7247,14,7,2022,66,P,63,1,13,50000
542,20,7,2023,52,L,62,15,11,10000
9937,15,4,2022,74,P,408,19,6,40000
3568,20,10,2023,80,L,251,17,2,40000
9821,17,8,2023,25,P,753,17,12,30000
1257,28,2,2022,62,L,333,16,4,10000
4668,16,4,2024,74,P,975,16,6,30000
3820,20,5,2024,46,P,663,16,3,30000
7704,4,3,2023,75,L,953,9,4,10000
4386,16,6,2024,30,P,889,15,6,40000
3407,10,8,2022,61,L,830,16,8,30000
9451,19,6,2022,43,L,236,7,6,40000
3925,18,2,2023,49,P,351,8,10,50000
5135,3,11,2024,30,P,602,11,8,10000
5638,26,11,2023,56,P,902,2,12,10000
1450,16,12,2022,62,P,319,19,11,30000
2884,25,9,2024,24,P,383,9,1,40000
262,14,9,2022,54,P,78,16,7,30000
4089,3,7,2022,38,P,279,8,2,40000
5593,20,1,2024,79,L,975,16,13,10000
2404,24,7,2023,79,P,364,8,9,10000
4148,14,11,2022,21,L,745,12,7,50000
8288,26,4,2022,33,L,430,16,9,40000
871,13,9,2024,24,L,179,20,2,10000
2740,13,8,2024,73,P,302,2,13,40000
861,16,4,2024,73,P,281,7,9,40000
8961,24,5,2023,51,P,220,18,6,50000
3245,9,10,2022,39,P,655,7,3,20000
7297,12,7,2024,64,P,209,12,13,10000
8626,17,11,2022,36,L,970,17,2,40000
4858,24,6,2023,26,L,539,8,6,30000
1740,29,11,2023,59,L,527,19,5,20000
5188,10,11,2023,28,P,414,20,4,10000
7328,6,4,2023,76,L,99,18,11,10000
4699,3,12,2022,39,P,572,6,2,10000
5374,30,4,2024,35,L,437,8,13,10000
7234,25,8,2023,65,L,942,15,10,50000
2490,4,12,2022,71,P,264,2,10,50000
3395,11,5,2024,76,P,971,19,5,30000
792,26,1,2023,47,P,790,10,13,50000
2131,5,7,2022,55,P,297,11,2,30000
7516,25,9,2022,26,P,351,10,3,50000
7923,26,3,2023,49,L,610,9,1,40000
1201,6,7,2023,30,P,565,7,11,10000
7340,13,9,2024,40,L,723,2,9,10000
6167,7,3,2022,56,P,639,8,5,50000
